Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,4.140000,4.160000,4.020000,4.020000,3.741700,12186000
2020-06-16,4.120000,4.200000,4.120000,4.150000,3.862701,10982100
2020-06-17,4.200000,4.220000,4.100000,4.130000,3.844085,6709600
2020-06-18,4.090000,4.120000,4.060000,4.070000,3.788239,7474600
2020-06-19,4.040000,4.050000,4.000000,4.000000,3.723085,19941500
2020-06-22,4.010000,4.040000,3.950000,4.020000,3.741700,4841900
2020-06-23,4.000000,4.020000,3.920000,3.950000,3.676547,10827600
2020-06-24,3.980000,3.980000,3.900000,3.900000,3.630008,8893900
2020-06-25,3.860000,3.880000,3.810000,3.840000,3.574162,11274700
2020-06-26,3.840000,3.870000,3.820000,3.820000,3.555546,7465000
2020-06-29,3.810000,3.820000,3.750000,3.750000,3.490392,8035000
2020-06-30,3.780000,3.840000,3.730000,3.730000,3.471777,13631800
2020-07-01,3.750000,3.830000,3.740000,3.810000,3.546238,4556700
2020-07-02,3.820000,3.880000,3.770000,3.850000,3.583469,6162900
2020-07-03,3.880000,3.900000,3.850000,3.900000,3.630008,4303000
2020-07-06,3.920000,3.960000,3.860000,3.930000,3.657931,5331700
2020-07-07,3.960000,3.980000,3.850000,3.870000,3.602084,7530000
2020-07-08,3.870000,3.900000,3.820000,3.850000,3.583469,3154900
2020-07-09,3.860000,3.860000,3.800000,3.810000,3.546238,4688200
2020-07-13,3.800000,3.810000,3.750000,3.750000,3.490392,8043300
2020-07-14,3.750000,3.760000,3.690000,3.720000,3.462469,8437900
2020-07-15,3.780000,3.780000,3.730000,3.770000,3.509007,4902680
2020-07-16,3.770000,3.820000,3.720000,3.720000,3.462469,8346400
2020-07-17,3.750000,3.760000,3.700000,3.700000,3.443854,4382000
2020-07-20,3.700000,3.700000,3.630000,3.660000,3.406623,5677200
2020-07-21,3.680000,3.730000,3.670000,3.690000,3.434546,4370700
2020-07-22,3.700000,3.730000,3.650000,3.650000,3.397315,3515900
2020-07-23,3.660000,3.700000,3.650000,3.690000,3.434546,3305000
2020-07-24,3.660000,3.680000,3.610000,3.620000,3.369392,6509100
2020-07-27,3.650000,3.650000,3.590000,3.610000,3.360084,5675400
2020-07-28,3.630000,3.640000,3.570000,3.570000,3.322853,5815300
2020-07-29,3.570000,3.570000,3.520000,3.530000,3.285622,5388400
2020-07-30,3.570000,3.570000,3.350000,3.420000,3.183238,22692100
2020-08-03,3.430000,3.430000,3.290000,3.310000,3.080853,11555500
2020-08-04,3.300000,3.440000,3.200000,3.370000,3.136699,11619000
2020-08-05,3.400000,3.530000,3.380000,3.450000,3.211161,6191500
2020-08-06,3.500000,3.570000,3.450000,3.530000,3.285622,6218100
2020-08-07,3.530000,3.540000,3.450000,3.490000,3.248392,4419700
2020-08-11,3.510000,3.640000,3.510000,3.600000,3.350776,6954400
2020-08-12,3.590000,3.690000,3.530000,3.680000,3.425238,6290700
2020-08-13,3.700000,3.820000,3.690000,3.710000,3.453161,10080000
2020-08-14,3.730000,3.800000,3.680000,3.790000,3.527623,8465400
2020-08-17,3.800000,3.810000,3.710000,3.730000,3.471777,5802500
2020-08-18,3.740000,3.750000,3.680000,3.720000,3.462469,5133300
2020-08-19,3.700000,3.710000,3.620000,3.620000,3.369392,7443600
2020-08-20,3.600000,3.680000,3.580000,3.630000,3.378700,6880900
2020-08-21,3.680000,3.680000,3.620000,3.640000,3.388007,3481800
2020-08-24,3.690000,3.710000,3.660000,3.680000,3.425238,5119300
2020-08-25,3.720000,3.930000,3.720000,3.800000,3.536931,13223200
2020-08-26,3.800000,3.800000,3.710000,3.760000,3.499700,5896700
2020-08-27,3.730000,3.750000,3.620000,3.630000,3.378700,7917100
2020-08-28,3.710000,3.780000,3.670000,3.680000,3.425238,7804600
2020-08-31,3.720000,3.770000,3.650000,3.650000,3.397315,8287600
2020-09-01,3.640000,3.690000,3.620000,3.650000,3.397315,4725000
2020-09-02,3.670000,3.680000,3.620000,3.650000,3.397315,5728100
2020-09-03,3.670000,3.700000,3.640000,3.680000,3.425238,4355700
2020-09-04,3.620000,3.640000,3.600000,3.620000,3.369392,7022000
2020-09-07,3.640000,3.680000,3.630000,3.640000,3.388007,2874800
2020-09-08,3.650000,3.680000,3.610000,3.610000,3.360084,4975000
2020-09-09,3.610000,3.640000,3.560000,3.580000,3.332161,7057600
2020-09-10,3.580000,3.630000,3.500000,3.540000,3.294930,9032900
2020-09-11,3.520000,3.570000,3.510000,3.560000,3.313545,3599800
2020-09-14,3.580000,3.580000,3.510000,3.510000,3.267007,3000700
2020-09-15,3.540000,3.560000,3.510000,3.520000,3.276315,3221200
2020-09-16,3.540000,3.580000,3.530000,3.550000,3.304238,3536500
2020-09-17,3.540000,3.580000,3.510000,3.530000,3.285622,3333800
2020-09-18,3.540000,3.550000,3.500000,3.500000,3.257699,6211000
2020-09-21,3.510000,3.530000,3.410000,3.420000,3.183238,7000600
2020-09-22,3.400000,3.420000,3.350000,3.360000,3.127391,6821500
2020-09-23,3.380000,3.480000,3.310000,3.460000,3.220469,5178600
2020-09-24,3.430000,3.440000,3.380000,3.390000,3.155314,4382200
2020-09-25,3.400000,3.430000,3.370000,3.390000,3.155314,2752200
2020-09-28,3.400000,3.460000,3.390000,3.410000,3.173930,3877500
2020-09-29,3.460000,3.480000,3.410000,3.420000,3.183238,3560800
2020-09-30,3.470000,3.480000,3.410000,3.470000,3.229776,5906100
2020-10-01,3.480000,3.510000,3.420000,3.480000,3.239084,3815500
2020-10-02,3.460000,3.480000,3.430000,3.450000,3.211161,3046800
2020-10-05,3.500000,3.540000,3.470000,3.500000,3.257699,3352300
2020-10-06,3.500000,3.590000,3.500000,3.550000,3.304238,5918400
2020-10-07,3.540000,3.590000,3.520000,3.560000,3.313545,4651900
2020-10-08,3.580000,3.590000,3.540000,3.550000,3.304238,3346100
2020-10-09,3.550000,3.560000,3.510000,3.510000,3.267007,3173200
2020-10-12,3.530000,3.550000,3.520000,3.530000,3.285622,2093600
2020-10-13,3.550000,3.550000,3.510000,3.540000,3.294930,2634400
2020-10-14,3.540000,3.540000,3.480000,3.490000,3.248392,2856000
2020-10-15,3.490000,3.530000,3.450000,3.490000,3.248392,4086600
2020-10-16,3.520000,3.540000,3.500000,3.510000,3.267007,2722400
2020-10-19,3.520000,3.550000,3.510000,3.530000,3.285622,2040500
2020-10-20,3.530000,3.530000,3.510000,3.510000,3.267007,2920400
2020-10-21,3.530000,3.600000,3.510000,3.510000,3.267007,7821700
2020-10-22,3.520000,3.560000,3.490000,3.540000,3.294930,4856700
2020-10-23,3.550000,3.590000,3.540000,3.580000,3.332161,4264400
2020-10-26,3.600000,3.690000,3.600000,3.620000,3.369392,7107700
2020-10-27,3.620000,3.620000,3.570000,3.590000,3.341469,3633200
2020-10-28,3.590000,3.590000,3.500000,3.500000,3.257699,5057000
2020-10-29,3.470000,3.470000,3.430000,3.440000,3.201853,6288800
2020-10-30,3.440000,3.460000,3.380000,3.390000,3.155314,8757500
2020-11-02,3.400000,3.420000,3.380000,3.380000,3.146007,3851100
2020-11-03,3.400000,3.440000,3.390000,3.420000,3.183238,3986800
